start,image,end,size,far,insns,ncalls,ncallers,ints,sets_ds,strings
06cf:a208,10ef8,06cf:a280,120,1,49,0,4,,1,""
06cf:a2f2,10fe2,06cf:a315,35,1,15,1,1,,0,""
06cf:a326,11016,06cf:a61e,760,1,292,0,1,,1,""
1131:0012,11322,1131:0038,38,1,20,0,1,,0,""
1131:0038,11348,1131:004f,23,0,12,0,2,,0,""
1136:002e,1138e,1136:007e,80,0,39,2,4,,1,""
1136:007e,113de,1136:015e,224,0,87,1,1,11,0,""
1136:0163,114c3,1136:03d4,625,1,272,0,1,,1,""
1136:03d3,11733,1136:03ec,25,0,14,1,1,21,0,""
1136:03ec,1174c,1136:03f8,12,0,8,0,1,,1,""
1136:03f8,11758,1136:04be,198,0,73,7,0,20 21,1,""
1136:04be,1181e,1136:0582,196,1,82,1,1,21,1,""
1136:0582,118e2,1136:0599,23,0,9,1,2,,0,""
1136:0599,118f9,1136:05e0,71,0,26,3,2,21,0,""
1136:05e0,11940,1136:060d,45,0,18,0,1,21,1,""
1136:060d,1196d,1136:0620,19,0,9,0,3,,0,""
1136:0620,11980,1136:064a,42,1,16,1,2,,0,""
1136:064a,119aa,1136:066e,36,1,19,0,2,,0,""
1136:066e,119ce,1136:0694,38,1,17,2,1,,0,""
1136:0694,119f4,1136:0826,402,0,203,0,1,,1,""
1136:0826,11b86,1136:088c,102,1,57,1,1,,1,""
1136:088c,11bec,1136:08b7,43,1,26,0,1,,0,""
1136:08b7,11c17,1136:08e2,43,1,21,1,4,21,0,""
1136:08e2,11c42,1136:0944,98,1,41,1,1,21,0,""
1136:094a,11caa,1136:0978,46,0,21,0,1,,0,""
1136:0978,11cd8,1136:0a3a,194,1,76,7,15,,0,""
1136:0a3a,11d9a,1136:0a6e,52,1,25,1,0,,0,""
1136:0a6e,11dce,1136:0a9b,45,1,22,2,15,,0,""
1136:0a9c,11dfc,1136:0adf,67,1,28,3,7,,0,""
1136:0ae0,11e40,1136:0aff,31,1,13,1,5,,0,""
1136:0b00,11e60,1136:0b42,66,1,29,3,1,,0,""
1136:0b42,11ea2,1136:0be7,165,1,70,2,2,,0,""
1136:0be8,11f48,1136:0c4d,101,0,40,1,2,,0,""
1136:0c4e,11fae,1136:0def,417,1,166,4,4,,0,""
1136:0df0,12150,1136:0e1f,47,1,19,1,1,,0,""
1136:0e20,12180,1136:0f16,246,1,100,1,1,,0,""
1136:0f16,12276,1136:0fc4,174,1,62,0,2,,0,""
1136:0fc4,12324,1136:105b,151,1,62,2,2,,0,""
1136:105c,123bc,1136:10c6,106,1,46,1,3,,0,""
1136:10c6,12426,1136:146a,932,1,330,9,2,,0,""
1136:146a,127ca,1136:155b,241,1,91,4,1,,0,""
1136:155c,128bc,1136:16fb,415,1,151,5,1,,0,""
1136:16fc,12a5c,1136:184a,334,1,141,5,1,,0,""
1136:184a,12baa,1136:186e,36,1,17,1,1,,0,""
1136:186e,12bce,1136:18af,65,1,31,2,1,,0,""
1136:18b0,12c10,1136:18d6,38,1,16,1,5,,0,""
1136:18d6,12c36,1136:190e,56,1,25,2,4,,0,""
1136:190e,12c6e,1136:192b,29,1,10,0,4,,0,""
1136:192c,12c8c,1136:1bff,723,1,244,8,3,,0,""
1136:1c00,12f60,1136:1d3a,314,1,115,3,1,,0,""
1136:1d3a,1309a,1136:1e2b,241,1,88,2,1,,0,"(null) | (null)"
1136:1e2c,1318c,1136:1ecf,163,1,52,1,1,,0,""
1136:1ed0,13230,1136:1f13,67,1,28,1,4,,0,""
1136:1f14,13274,1136:1f74,96,1,40,1,2,,0,""
1136:1f74,132d4,1136:1fde,106,1,44,1,3,,0,""
1136:1fde,1333e,1136:20ad,207,1,82,6,2,,0,""
1136:20ae,1340e,1136:20c6,24,1,10,1,1,,0,""
1136:20c6,13426,1136:20f0,42,1,17,1,1,,0,""
1136:20f0,13450,1136:216f,127,1,54,0,1,,0,""
1136:2170,134d0,1136:2199,41,1,22,0,1,,0,"+- #"
1136:219a,134fa,1136:21d6,60,1,28,0,1,,0,""
1136:21d6,13536,1136:223e,104,1,47,1,6,,0,""
1136:223e,1359e,1136:225e,32,0,13,0,1,21,0,""
1136:225e,135be,1136:22d8,122,0,46,0,2,21,0,""
1136:22d8,13638,1136:246b,403,1,157,1,1,21,0,""
1136:246b,137cb,1136:247c,17,0,8,0,1,,0,""
1136:247c,137dc,1136:2557,219,0,90,0,1,21,0,""
1136:2558,138b8,1136:2600,168,0,75,2,2,21,0,""
1136:2600,13960,1136:2682,130,0,61,0,1,21,0,""
1136:2682,139e2,1136:2696,20,1,12,0,1,,0,""
1136:2696,139f6,1136:26a8,18,1,9,0,1,,0,""
1136:26a8,13a08,1136:26f1,73,1,34,2,2,,0,""
1136:26f1,13a51,1136:27d4,227,0,106,2,1,,1,""
1136:27d4,13b34,1136:280e,58,0,29,1,1,,0,""
1136:280e,13b6e,1136:2830,34,0,18,1,2,,0,""
1136:2830,13b90,1136:2851,33,0,20,1,2,,1,""
1136:2852,13bb2,1136:28c0,110,1,53,1,1,21,0,""
1136:28c0,13c20,1136:2916,86,0,39,0,1,21,0,""
1136:2916,13c76,1136:2955,63,1,30,0,21,,0,""
1136:2956,13cb6,1136:2988,50,1,26,0,29,,0,""
1136:2988,13ce8,1136:29b3,43,1,21,0,1,,0,""
1136:29b4,13d14,1136:29cf,27,1,15,0,4,,0,""
1136:29d0,13d30,1136:29eb,27,0,13,0,1,,0,""
1136:29ec,13d4c,1136:29f6,10,0,6,0,1,,0,""
1136:29f6,13d56,1136:2a18,34,1,14,3,1,,0,""
1136:2a18,13d78,1136:2a3b,35,1,15,0,2,,0,""
1136:2a3c,13d9c,1136:2a96,90,1,39,2,10,,0,""
1136:2a96,13df6,1136:2ad7,65,1,28,2,1,,0,""
1136:2ad8,13e38,1136:2b40,104,1,48,1,1,,0,""
1136:2b40,13ea0,1136:2b82,66,1,34,0,12,,0,""
1136:2b82,13ee2,1136:2c0f,141,1,75,0,1,,0,""
1136:2c1c,13f7c,1136:2cad,145,1,63,2,1,21 23,0,""
1136:2cb4,14014,1136:2d57,163,1,67,1,0,21,1,""
1136:2d57,140b7,1136:2d7f,40,1,20,0,2,,0,""
1136:2da7,14107,1136:2dd1,42,1,23,0,0,,1,""
1136:2e20,14180,1136:2e2d,13,0,6,0,2,21,0,""
1136:2e2e,1418e,1136:2e41,19,1,11,0,1,21,0,""
1136:2e42,141a2,1136:2ee7,165,1,74,1,1,,0,""
1136:2ee8,14248,1136:2f1c,52,1,23,0,4,,0,""
1136:2f1c,1427c,1136:2fc4,168,1,73,1,1,,0,""
1136:2fc4,14324,1136:2fcf,11,1,6,0,2,,0,""
1136:2fd0,14330,1136:2fee,30,0,12,1,1,,0,""
1435:0002,14352,1438:0000,46,0,13,5,14,,0,""
1438:0002,14382,1438:000f,13,0,5,0,1,,0,""
1439:000c,1439c,1439:003c,48,0,19,1,19,,0,""
143d:0006,143d6,143d:008f,137,1,49,1,14,,0,""
1446:0000,14460,1446:002f,47,0,14,2,2,,0,""
1449:000a,1449a,1449:02a7,669,1,223,7,1,,0,""
1449:02a8,14738,1449:02e6,62,1,26,1,1,,0,""
1449:02e6,14776,1479:0000,26,0,8,0,1,,0,""
1479:000a,1479a,1479:004c,66,1,26,1,4,,0,""
1479:004c,147dc,1479:008e,66,1,26,1,4,,0,""
1479:008e,1481e,1479:00d0,66,1,26,1,0,,0,""
1479:00d0,14860,148a:0000,64,0,24,1,0,,0,""
148a:0002,148a2,148a:007b,121,1,49,1,1,,0,""
148a:007c,1491c,148a:0220,420,1,151,21,1,,0,""
148a:0220,14ac0,148a:0357,311,1,113,13,3,,0,""
148a:0358,14bf8,148a:04be,358,0,131,16,1,,0,"PAUSE - PRESS ANY KEY TO RESUME"
14d6:000e,14d6e,14d6:0169,347,1,126,9,16,,0,".PCS | FLIPBUF"
14d6:016a,14eca,14f7:0000,166,0,62,4,0,,0,""
14f7:000e,14f7e,14f7:0258,586,1,217,22,1,,0," to move the joystick position indicator  |  below, to all squares  |  Press joystick button when complete "
