start,image,end,size,far,insns,ncalls,ncallers,ints,sets_ds,strings
06d0:4531,0b231,06d0:456c,59,0,22,0,1,,0,""
06d0:456c,0b26c,06d0:4910,932,0,250,7,1,,0,""
06d0:4926,0b626,06d0:49f2,204,0,72,3,2,,0,""
06d0:49f2,0b6f2,06d0:4a55,99,0,32,0,1,,0,""
06d0:4a55,0b755,06d0:4a92,61,0,23,2,1,,0,""
06d0:4a92,0b792,06d0:4b7d,235,0,85,1,1,,0,""
06d0:4b7d,0b87d,06d0:4c1e,161,0,66,2,1,,0,""
06d0:4c1e,0b91e,06d0:4c37,25,0,13,0,3,,0,""
06d0:4c37,0b937,06d0:4e8a,595,0,183,3,1,,0,""
06d0:4e8a,0bb8a,06d0:4f1a,144,0,54,0,1,,0,""
06d0:4f1a,0bc1a,06d0:4f99,127,0,45,0,1,,0,""
06d0:4f99,0bc99,06d0:5191,504,0,169,5,1,,0,""
06d0:5191,0be91,06d0:51f5,100,0,40,0,3,,0,""
06d0:51f5,0bef5,06d0:522c,55,0,26,0,3,,0,""
06d0:522c,0bf2c,06d0:5253,39,0,17,0,3,,0,""
06d0:5253,0bf53,06d0:529e,75,0,30,0,3,,0,""
06d0:529e,0bf9e,06d0:531f,129,0,44,0,1,,0,""
06d0:531f,0c01f,06d0:533e,31,0,11,0,1,,0,""
06d0:533e,0c03e,06d0:549d,351,0,83,1,1,,0,""
06d0:55e5,0c2e5,06d0:56a3,190,0,64,4,1,,0,""
06d0:5778,0c478,06d0:5857,223,0,73,5,1,,0,""
06d0:5857,0c557,06d0:591d,198,0,62,1,1,,0,""
06d0:591d,0c61d,06d0:5967,74,0,34,0,1,,0,""
06d0:5967,0c667,06d0:59d2,107,0,36,2,1,,0,""
06d0:59d2,0c6d2,06d0:5a52,128,1,41,2,1,,0,""
06d0:5a52,0c752,06d0:5b28,214,0,75,0,1,,0,""
06d0:5b28,0c828,06d0:5b52,42,0,18,0,1,,0,""
06d0:5b52,0c852,06d0:5b8f,61,0,25,0,2,,0,""
06d0:5b90,0c890,06d0:5b9e,14,1,6,1,7,,0,""
06d0:5b9e,0c89e,06d0:5bf4,86,1,36,1,1,,1,""
06d0:5bf4,0c8f4,06d0:5bf5,1,1,1,0,3,,0,""
06d0:5bf5,0c8f5,06d0:5c12,29,1,17,0,2,,1,""
06d0:5c22,0c922,06d0:5c42,32,1,10,0,1,1a,0,"    "
06d0:5c42,0c942,06d0:5c4f,13,1,7,0,1,21,0,""
06d0:5c4f,0c94f,06d0:5c68,25,1,13,0,1,21,0,""
06d0:5c68,0c968,06d0:5c77,15,1,9,0,1,11,0,""
06d0:5c77,0c977,06d0:5c81,10,1,4,0,1,,0,""
06d0:5c81,0c981,06d0:5c92,17,1,8,0,1,,0,""
06d0:5c92,0c992,06d0:5cef,93,1,39,0,0,,1,""
06d0:5cef,0c9ef,06d0:5d10,33,1,12,0,7,,0,""
06d0:5d10,0ca10,06d0:5d7e,110,1,54,1,3,21,1,"%s FILE ERROR"
06d0:5d7e,0ca7e,06d0:5de7,105,1,50,0,2,21,1,""
06d0:5de8,0cae8,06d0:5e42,90,1,44,0,6,21,1,""
06d0:5e42,0cb42,06d0:5e57,21,0,12,0,1,21,0,""
06d0:5e58,0cb58,06d0:5eaf,87,1,40,0,1,10,0,""
06d0:5eb0,0cbb0,06d0:5f10,96,1,44,1,1,10,0,""
06d0:5f10,0cc10,06d0:5f2f,31,0,8,0,2,,0,""
06d0:5f4d,0cc4d,06d0:5f6d,32,0,11,0,2,,0,""
06d0:5f6e,0cc6e,06d0:5ffe,144,1,52,0,0,,0,""
06d0:5ffe,0ccfe,06d0:6040,66,1,30,0,3,,0,""
06d0:6040,0cd40,06d0:6074,52,1,19,1,4,,0,""
06d0:6074,0cd74,06d0:6321,685,1,149,0,1,,0,""
06d0:6322,0d022,06d0:634e,44,1,17,1,3,10,0,""
06d0:634e,0d04e,06d0:6363,21,1,5,1,0,,0,""
06d0:6363,0d063,06d0:637c,25,1,10,1,0,,0,"KEYBOARD ON"
06d0:637c,0d07c,06d0:63bb,63,1,24,1,0,,0,"SOUND ON | SOUND OFF"
06d0:63bb,0d0bb,06d0:63fc,65,1,24,1,0,,0,"MUSIC ON | MUSIC OFF"
06d0:63fc,0d0fc,06d0:640c,16,1,4,1,0,,0,""
06d0:640c,0d10c,06d0:641c,16,1,4,1,0,,0,""
06d0:641c,0d11c,06d0:6479,93,1,42,0,2,,0,""
06d0:6479,0d179,06d0:64a8,47,1,21,0,1,,0,""
06d0:64b9,0d1b9,06d0:64f5,60,1,24,2,0,16,0,""
06d0:64f5,0d1f5,06d0:6514,31,1,15,1,1,16,0,""
06d0:6514,0d214,06d0:657a,102,1,35,1,2,,0,""
06d0:657a,0d27a,06d0:66fe,388,1,136,0,3,,0,""
06d0:66fe,0d3fe,06d0:671c,30,1,6,0,1,,0,""
06d0:671c,0d41c,06d0:672d,17,1,8,0,2,,0,""
06d0:6754,0d454,06d0:67b8,100,1,32,0,1,,0,""
06d0:67b8,0d4b8,06d0:67fb,67,1,22,0,3,,0,""
06d0:67fb,0d4fb,06d0:68e6,235,1,101,0,0,,1,""
06d0:68e6,0d5e6,06d0:68f2,12,1,6,0,0,,0,""
06d0:68f2,0d5f2,06d0:68f7,5,1,2,0,11,,0,""
06d0:68f7,0d5f7,06d0:690b,20,1,11,0,1,16,0,""
06d0:690b,0d60b,06d0:691c,17,1,8,0,3,,0,""
06d0:691c,0d61c,06d0:6924,8,1,3,0,2,,0,""
06d0:6924,0d624,06d0:692f,11,1,4,1,5,,0,""
06d0:692f,0d62f,06d0:693e,15,1,8,0,7,16,0,""
06d0:693e,0d63e,06d0:695e,32,1,11,2,3,,0,""
06d0:695e,0d65e,06d0:6996,56,1,21,2,17,,0,""
06d0:6996,0d696,06d0:69f6,96,1,39,1,3,21,1,""
06d0:69f6,0d6f6,06d0:6a8b,149,1,63,3,0,,1,""
06d0:6a8b,0d78b,06d0:6b62,215,0,91,0,1,,1,""
06d0:6b62,0d862,06d0:6c0c,170,0,78,0,1,,1,""
06d0:6c0c,0d90c,06d0:6c44,56,1,21,4,7,,0,""
06d0:6c44,0d944,06d0:6d41,253,1,100,7,2,,1,"%s INVALID PACK TYPE"
06d0:6d42,0da42,06d0:6d4c,10,0,7,0,2,,0,""
06d0:6d4d,0da4d,06d0:6e11,196,1,88,1,15,20,1,"locateshape - %-4.4s SHAPE OR SOUND NOT FOUND"
06d0:6e12,0db12,06d0:6e7a,104,1,39,0,1,21,0,""
06d0:6e87,0db87,06d0:6ea6,31,1,12,1,1,,0,""
06d0:6eca,0dbca,06d0:6edc,18,1,6,0,1,,0,""
06d0:6edc,0dbdc,06d0:6f24,72,1,36,0,3,,1,""
06d0:6f24,0dc24,06d0:6f77,83,1,44,0,5,,1,""
06d0:6f77,0dc77,06d0:6f97,32,1,18,0,3,,0,""
06d0:6f97,0dc97,06d0:703b,164,1,60,2,4,,0,"reservememory - OUT OF MEMORY BLOCKS LOADING %s | reservememory - OUT OF MEMORY LOADING %s"
06d0:703b,0dd3b,06d0:70a8,109,1,45,1,1,,0,""
06d0:70a8,0dda8,06d0:7167,191,1,71,3,3,,0,""
06d0:7167,0de67,06d0:71ba,83,1,39,1,3,,0,""
06d0:71ba,0deba,06d0:725f,165,1,60,2,4,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06d0:725f,0df5f,06d0:7384,293,1,108,3,13,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06d0:7384,0e084,06d0:73c8,68,1,27,1,3,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06d0:73c8,0e0c8,06d0:73f5,45,1,19,1,0,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06d0:73f5,0e0f5,06d0:747d,136,1,55,2,1,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06d0:747e,0e17e,06d0:74bc,62,1,23,0,3,,0,""
06d0:74bc,0e1bc,06d0:74cd,17,1,8,0,1,,0,""
06d0:74cd,0e1cd,06d0:74de,17,1,8,0,0,,0,""
06d0:74de,0e1de,06d0:7701,547,1,186,0,0,,1,""
06d0:7702,0e402,06d0:771f,29,1,11,0,6,,0,""
06d0:7720,0e420,06d0:7759,57,1,25,1,12,,1,""
06d0:775a,0e45a,06d0:7767,13,0,7,0,1,,0,""
06d0:7768,0e468,06d0:77ec,132,1,51,1,1,21,1,""
06d0:77ec,0e4ec,06d0:780c,32,1,19,0,6,,1,""
06d0:780c,0e50c,06d0:7828,28,1,17,0,6,,1,""
06d0:783a,0e53a,06d0:7865,43,1,17,0,1,,0,""
06d0:7865,0e565,06d0:786b,6,1,2,0,1,,0,""
06d0:786b,0e56b,06d0:7889,30,1,14,0,3,,0,""
06d0:7890,0e590,06d0:78af,31,1,13,0,0,,0,""
06d0:78bc,0e5bc,06d0:78c6,10,1,5,0,6,,0,""
06d0:78c6,0e5c6,06d0:78fb,53,1,22,0,0,,0,""
06d0:7904,0e604,06d0:791b,23,1,9,1,7,,0,""
06d0:791b,0e61b,06d0:792f,20,1,7,1,3,,0,""
06d0:792f,0e62f,06d0:7949,26,1,10,1,1,,0,""
06d0:7949,0e649,06d0:7975,44,1,17,1,3,,0,""
06d0:7976,0e676,06d0:7987,17,1,8,0,25,,0,""
06d0:7987,0e687,06d0:7998,17,1,8,0,0,,0,""
06d0:7998,0e698,06d0:79b1,25,1,15,0,4,,0,""
06d0:79b1,0e6b1,06d0:79ca,25,1,15,0,4,,0,""
06d0:7b0a,0e80a,06d0:7c52,328,1,139,0,0,,1,""
06d0:7c52,0e952,06d0:7c70,30,1,18,0,30,,1,""
06d0:7c70,0e970,06d0:7c93,35,0,15,0,7,,1,""
06d0:7c94,0e994,06d0:7cb1,29,0,13,0,0,,1,""
06d0:7cb2,0e9b2,06d0:7e1a,360,1,146,0,2,,1,""
06d0:7e1a,0eb1a,06d0:7e3d,35,0,15,0,3,,1,""
06d0:7e3e,0eb3e,06d0:7e5b,29,0,13,0,1,,1,""
06d0:7e5c,0eb5c,06d0:7efb,159,1,71,0,3,,1,""
06d0:7efc,0ebfc,06d0:7f2b,47,1,21,0,3,,0,""
06d0:7f2c,0ec2c,06d0:7f77,75,1,33,0,22,,1,""
06d0:7f80,0ec80,06d0:8297,791,1,299,0,8,,1,""
06d0:8298,0ef98,06d0:82fa,98,0,36,0,6,,0,""
